Date,SBSW,UMC,SEDG,DLHC ,CPT
2/24/2016,12.705882,2.01,24.9,3.2,73.830002
2/25/2016,13.470588,2.05,25.190001,3.14,74.260002
2/26/2016,13.254902,2.05,24.700001,3.19,74.279999
2/29/2016,14.088235,2.07,24.469999,3.11,74.739998
3/1/2016,13.098039,2.08,26.02,3.2,76.760002
3/2/2016,13.970588,2.08,28.030001,3.16,78.43
3/3/2016,14.254902,2.1,27.66,3.11,79.220001
3/4/2016,13.656863,2.12,26.530001,3.3,79.139999
3/7/2016,14.215686,2.11,27.110001,3.14,79.059998
3/8/2016,14.186275,2.06,26.92,3.25,79.050003
3/9/2016,13.813725,2.05,26.74,3.18,79.220001
3/10/2016,14.382353,2.09,26.73,3.18,78.75
3/11/2016,13.980392,2.14,27.75,3.19,79.190002
3/14/2016,13.558824,2.09,26.9,3.35,79.360001
3/15/2016,13.72549,2.06,26.360001,3.43,79.75
3/16/2016,14.735294,2.13,26.129999,3.38,80.18
3/17/2016,14.558824,2.1,27.200001,3.62,81.919998
3/18/2016,14.686275,2.12,26.200001,3.35,82.370003
3/21/2016,14.578431,2.1,26.209999,3.51,81.730003
3/22/2016,14.705882,2.11,25.030001,3.36,82.099998
3/23/2016,13.833333,2.09,24.09,3.51,82.019997
3/24/2016,14.333333,2.11,24.24,3.74,81.550003
3/28/2016,14.303922,2.07,24.290001,4.13,82.269997
3/29/2016,15.401961,2.05,25.18,4.27,83.5
3/30/2016,15.137255,2.11,25.17,4.02,83.519997
3/31/2016,14.872549,2.08,25.139999,3.84,84.089996
4/1/2016,14.862745,2.13,24.66,3.94,83.830002
4/4/2016,14.019608,2.09,25.17,3.65,84.07
4/5/2016,14.313725,2.07,24.74,3.55,82.970001
4/6/2016,14.245098,2.02,25.360001,3.66,83.419998
4/7/2016,14.509804,1.98,25.139999,3.66,82.68
4/8/2016,14.637255,2,25.049999,3.66,82.900002
4/11/2016,15.872549,2,24.690001,3.65,82.330002
4/12/2016,16.029411,2.04,24.49,3.87,82.510002
4/13/2016,15.411765,2.04,25.200001,3.74,81.900002
4/14/2016,14.696078,2.02,25.129999,3.7,80.080002
4/15/2016,14.980392,2,24.940001,3.67,81.82
4/18/2016,14.54902,2.04,26.25,3.67,82.169998
4/19/2016,15.215686,2.03,26.809999,3.69,82.209999
4/20/2016,14.568627,2,27.42,3.69,80.760002
4/21/2016,14.754902,1.97,27.860001,3.71,80.110001
4/22/2016,14.117647,1.99,27.959999,3.8,81.32
4/25/2016,13.72549,1.99,27.309999,3.82,82.57
4/26/2016,13.627451,1.99,27.700001,3.81,82.639999
4/27/2016,13.990196,1.95,28.48,3.97,82.040001
4/28/2016,14.617647,1.89,26.67,3.98,82.269997
4/29/2016,15.098039,1.89,26.790001,4.05,80.730003
5/2/2016,14.519608,1.85,26.790001,3.98,82.300003
5/3/2016,14.137255,1.78,25.4,4.31,81.68
5/4/2016,13.5,1.8,24.379999,4.75,83.239998
5/5/2016,14.392157,1.8,22.07,4.61,84.050003
5/6/2016,14.823529,1.78,22.290001,4.72,85.669998
5/9/2016,12.95098,1.81,22.59,4.62,86.129997
5/10/2016,13.382353,1.78,19.17,4.62,86.459999
5/11/2016,14.029412,1.81,19.1,4.48,85.57
5/12/2016,13.215686,1.77,17.879999,4.43,86.629997
5/13/2016,13.529412,1.75,17.51,4.5,85.949997
5/16/2016,13.519608,1.8,18.23,4.5,86.800003
5/17/2016,13.088235,1.79,18.469999,4.29,85.800003
5/18/2016,11.911765,1.8,19.82,4.38,85.32
5/19/2016,12.009804,1.76,19.16,4.38,83.629997
5/20/2016,12.107843,1.8,19.41,4.23,84.510002
5/23/2016,11.931373,1.81,20.17,4.12,84.169998
5/24/2016,11.313725,1.83,20.809999,4,85.040001
5/25/2016,11.676471,1.86,21.16,4.12,84.669998
5/26/2016,11.647059,1.88,21.42,4.23,84.889999
5/27/2016,11.303922,1.89,21.6,4.38,85.230003
5/31/2016,11.480392,1.88,21.85,4.2,85.209999
6/1/2016,11.666667,1.89,20.959999,4.25,84.099998
6/2/2016,11.715686,1.92,21.290001,4.53,83.989998
6/3/2016,12.637255,1.91,21.030001,4.84,82.059998
6/6/2016,12.323529,1.92,21.52,5.08,80.339996
6/7/2016,12.078431,1.96,21.99,4.87,81.129997
6/8/2016,12.666667,2.02,22.540001,4.7,80.559998
6/9/2016,12.833333,2.01,22.549999,4.51,80.809998
6/10/2016,12.343137,1.95,20.959999,4.33,80.809998
6/13/2016,11.862745,1.96,20.860001,4.25,81.610001
6/14/2016,11.666667,1.91,21.049999,4.24,81.839996
6/15/2016,12.303922,1.93,21.139999,4.3,83.199997
6/16/2016,11.72549,1.88,20.799999,4.4,83.82
6/17/2016,11.921569,1.9,20.530001,4.65,82.949997
6/20/2016,11.823529,1.94,20.719999,4.72,83.440002
6/21/2016,11.245098,1.95,20.35,4.62,83.43
6/22/2016,11.823529,1.96,20.459999,4.79,84.230003
6/23/2016,11.696078,1.99,20.030001,4.77,85.050003
6/24/2016,12.852941,1.92,19.049999,5,84.489998
6/27/2016,12.529412,1.96,18.18,4.99,85.32
6/28/2016,12.5,1.99,19.41,4.94,85.760002
6/29/2016,13.205882,2,19.799999,5.04,87.199997
6/30/2016,13.352941,1.99,19.6,5.05,88.419998
7/1/2016,14.009804,1.98,19.51,4.71,88.809998
